分类,指标,值
中证1000,期初收盘,"6,058.67"
中证1000,期末收盘,"8,472.60"
中证1000,区间涨跌幅,39.84%
中证1000,年化收益率,2.91%
中证1000,年化波动率,27.07%
中证1000,最大回撤,-72.35%
中证500,期初收盘,"4,860.73"
中证500,期末收盘,"8,651.13"
中证500,区间涨跌幅,77.98%
中证500,年化收益率,5.06%
中证500,年化波动率,24.97%
中证500,最大回撤,-65.20%
上证指数,期初收盘,"2,341.18"
上证指数,期末收盘,"4,041.24"
上证指数,区间涨跌幅,72.62%
上证指数,年化收益率,4.79%
上证指数,年化波动率,19.86%
上证指数,最大回撤,-52.30%
差价：中证1000-中证500,平均值,746.55
差价：中证1000-中证500,中位数,441.39
差价：中证1000-中证500,标准差,764.64
差价：中证1000-中证500,最小值,-311.72
差价：中证1000-中证500,最大值,"3,460.45"
差价：中证1000-中证500,为正交易日占比,93.50%
日收益相关性,中证1000 vs 中证500,0.9691
日收益相关性,中证1000 vs 上证指数,0.8331
日收益相关性,中证500 vs 上证指数,0.8932
